acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.0151,"['Kygo', 'Whitney Houston']",0.693,228267,0.6779999999999999,0,1kKYjjfNYxE0YYgLa7vgVY,5.71e-6,8,0.101,-7.159,1,Higher Love,69,2020-05-29,0.0324,103.952,0.404,2020
0.0883,"['Delacey', 'G-Eazy']",0.677,192571,0.878,1,7E91ECLi2J4L21tEX0RBHn,0,11,0.154,-3.497,0,Cruel Intentions,68,2020-02-28,0.213,90.04799999999999,0.227,2020
0.111,['Foster The People'],0.433,276360,0.614,0,7egu63DOhNpivWOpGtzqGS,5.610000000000002e-5,8,0.141,-7.5939999999999985,0,Lamb's Wool,67,2020-05-22,0.0499,178.75099999999995,0.233,2020
0.0358,['(G)I-DLE'],0.794,195867,0.762,0,2DmRXiyn03tOqKgEJXlaiJ,1.41e-6,4,0.191,-3.525,0,Oh my god,75,2020-04-06,0.0392,109.97,0.482,2020
0.374,"['Anuel AA', 'Mariah']",0.789,222385,0.809,1,5poUJOhLyalGkUedn3ggeX,0,8,0.202,-3.417,1,Bandido,75,2020-05-29,0.0615,95.935,0.411,2020
0.0352,['Anitta'],0.967,205595,0.772,0,5JY9u3KjWIGL188kp59Ktn,1.25e-5,3,0.0792,-3.2910000000000004,0,Blá blá blá - Extended Remix,1,2020-06-12,0.0851,131.998,0.856,2020
0.344,['Drake'],0.8320000000000001,247059,0.431,0,1d2eMMrAuIsw85u3YklKoc,5.48e-6,8,0.114,-9.81,0,Toosie Slide,69,2020-04-02,0.197,81.597,0.847,2020
0.00906,['Halsey'],0.385,234858,0.871,1,1OfLNb6dQ9dra1B58iT9Ex,0,0,0.579,-4.604,0,3am,68,2020-01-17,0.0795,189.76,0.5379999999999999,2020
0.15,"['Kygo', 'Sasha Sloan']",0.611,215361,0.649,0,1tuXOJYN6CkgubpifHEm96,1.53e-5,1,0.105,-6.968,1,I'll Wait,69,2020-05-29,0.058,123.002,0.353,2020
0.393,['YoungBoy Never Broke Again'],0.595,161195,0.816,1,2W9uAM0aMsZVxf3iU287sc,0,7,0.112,-5.097,1,I-10 Baby,63,2020-04-24,0.308,83.3,0.665,2020
0.0755,['Agust D'],0.31,140199,0.416,0,3wS2dXzQw58b1e3AR8YStR,3.34e-5,5,0.18,-10.429,1,Interlude : Set me free,72,2020-05-22,0.0346,129.925,0.207,2020
0.46,['Morat'],0.591,230040,0.659,0,0BLnBgQf8xmFN2qsxF16hy,0,11,0.324,-5.464,1,Enamórate De Alguien Más,2,2020-06-05,0.0332,145.997,0.622,2020
0.267,"['deadman 死人', 'Shibayan', 'Tiny Little Adiantum']",0.7390000000000001,113580,0.6409999999999999,0,7hY1S4SKti3cGz0rGYmT5A,0.8029999999999999,0,0.103,-12.376,1,Omae Wa Mou - Tiny Little Adiantum Remix,70,2020-02-21,0.0538,93.007,0.713,2020
0.0608,['Morat'],0.5820000000000001,240240,0.921,0,3YV7XXT0lAlY4wACbw3HDZ,0,4,0.13699999999999998,-3.928,1,Cómo Te Atreves,0,2020-06-12,0.0457,131.004,0.6859999999999999,2020
0.126,"['Morat', 'Juanes']",0.6829999999999999,231440,0.97,0,4AUgtXs2HmOXrw0ROxQM8l,0,2,0.105,-3.589,1,Besos En Guerra,0,2020-06-05,0.0489,143.931,0.769,2020
0.46,['Morat'],0.591,230040,0.659,0,6O2U51Vmd9Mp6CiPhHFOPo,0,11,0.324,-5.464,1,Enamórate De Alguien Más,2,2020-06-05,0.0332,145.997,0.622,2020
0.0453,['Morat'],0.619,202120,0.753,0,6tn73Cd0SlsHat1VjMsf3j,0,9,0.0942,-5.725,1,En Un Sólo Dia - Versión Acústica,1,2020-06-12,0.0398,143.93200000000004,0.606,2020
0.11,['Chelsea Collins'],0.475,182915,0.846,0,5SenNS7C7ULDyCJD3lJeki,0,4,0.24,-1.465,1,07 Britney,64,2020-05-08,0.0625,154.19,0.381,2020
0.212,"['A Boogie Wit da Hoodie', 'Lil Uzi Vert']",0.489,161056,0.5539999999999999,1,0LVaWrTztFOuN7g7gcyLs8,1.9e-6,2,0.08800000000000001,-8.437000000000001,1,Luv Is Art (feat. Lil Uzi Vert),65,2020-02-14,0.183,86.584,0.331,2020
0.17,"['Trippie Redd', 'Russ']",0.789,243287,0.564,1,54JD6jMGpa3tLAgkSYdLwf,1.03e-5,1,0.138,-9.513,0,The Way,66,2020-02-19,0.166,145.97,0.52,2020
0.0858,"['Cali Y El Dandee', 'Sebastian Yatra']",0.643,209027,0.769,0,5379uuUPHodsdVhy8pIAAr,0,8,0.205,-3.533,1,Locura,81,2020-05-07,0.0877,185.669,0.532,2020
0.135,['Mac Miller'],0.779,286387,0.362,0,3Qa944OTMZkg8DHjET8JQv,0.206,0,0.111,-10.847,1,Woods,67,2020-01-17,0.0474,85.01100000000002,0.46,2020
0.0304,"['Galantis', 'Hook N Sling', 'Dotan']",0.58,215388,0.804,0,1mMvahhW2Oz9waG8UTQnI4,0.00359,9,0.105,-4.618,1,Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],69,2020-02-07,0.0279,126.005,0.13699999999999998,2020
0.0258,['Eminem'],0.847,173893,0.637,1,7ccTcabbJlCJiIqtrSSwBk,6.48e-4,1,0.382,-5.193,1,Premonition - Intro,70,2020-01-17,0.3670000000000001,165.979,0.511,2020
0.929,['Alessia Cara'],0.385,254507,0.371,0,7yT4hFhyGmswCEBLZeat9P,0,6,0.147,-5.718,1,River Of Tears,4,2020-06-12,0.0476,89.861,0.285,2020
0.038,['645AR'],0.8640000000000001,91200,0.613,1,2DiybJZJGXyV1UYmngo3eq,0,2,0.123,-6.505,1,Yoga,68,2020-04-03,0.7809999999999999,150.067,0.16899999999999998,2020
0.157,['YoungBoy Never Broke Again'],0.652,146802,0.7979999999999999,1,5YEAvnL3klXUE7etBXvMlp,0,6,0.118,-5.347,0,RIP Lil Phat,63,2020-02-21,0.333,169.857,0.608,2020
0.25,['J Balvin'],0.6509999999999999,189827,0.561,0,464uJVLmr0fDJGXOnciaDe,1.09e-4,9,0.435,-5.715,0,Rosa,78,2020-03-19,0.25,175.99200000000005,0.369,2020
0.466,"['YoungBoy Never Broke Again', 'Sherhonda Gaulden']",0.579,187141,0.565,1,6vXJljkoTUWjPXFRfuBbgZ,0,11,0.226,-6.901,1,Bout My Business (feat. Sherhonda Gaulden),63,2020-04-24,0.418,83.973,0.631,2020
0.5579999999999999,['Summer Walker'],0.653,140760,0.418,1,2ohzw5onoEVNwKqxFS0FYP,3.1e-4,6,0.562,-10.065,0,Girls Need Love,0,2020-06-16,0.28800000000000003,96.942,0.122,2020
0.202,"['The Kid LAROI', 'Juice WRLD']",0.606,183947,0.716,0,35mZ6aFwIsgHEhPLmhf4UK,0,3,0.355,-5.113,0,GO (feat. Juice WRLD),62,2020-06-10,0.052,73.983,0.579,2020
0.0387,['Eminem'],0.72,194707,0.767,1,7Dj2wqPYXfSRFwa6qyOztr,0,10,0.202,-5.839,0,In Too Deep,70,2020-01-17,0.214,88.96600000000002,0.595,2020
0.215,"['Olivia Rodrigo', 'Joshua Bassett']",0.519,197320,0.503,0,5Yc2A0YtK6PaXT8J1MQ0Rd,0,2,0.14800000000000002,-6.239,1,"Just for a Moment - From ""High School Musical: The Musical: The Series""",68,2020-01-01,0.0442,89.17399999999998,0.364,2020
0.0415,['Kelly Rowland'],0.857,130686,0.69,0,7GGlr1GkWjre2lo69N0rVk,0,6,0.0942,-4.474,1,COFFEE,67,2020-04-17,0.0437,121.09,0.799,2020
0.479,"['PARTYNEXTDOOR', 'Drake', 'Bad Bunny']",0.877,281120,0.529,1,6RbH4isVKIOg1OY1HvRqFc,0.00159,0,0.094,-6.235,0,LOYAL (feat. Drake and Bad Bunny) - Remix,63,2020-02-07,0.0461,104.984,0.422,2020
0.235,['Rod Wave'],0.665,202998,0.621,1,5B47BFhAuIzJ6ZwxZPVI1i,0,5,0.107,-12.599,0,I Remember,63,2020-04-03,0.238,161.849,0.389,2020
0.124,['Carly Pearce'],0.6629999999999999,187333,0.6859999999999999,0,6biq5BjD7UAXpefEgDVbp5,0,4,0.112,-4.549,0,Closer To You,64,2020-02-14,0.0304,111.971,0.444,2020
0.0471,"['Major Lazer', 'Marcus Mumford', 'Diplo']",0.6579999999999999,199895,0.765,0,0oB9964bp22Bmok0Dmxlzb,1.02e-5,11,0.0936,-7.0020000000000016,0,Lay Your Head On Me (feat. Marcus Mumford),62,2020-03-26,0.0469,119.974,0.222,2020
0.0688,['YoungBoy Never Broke Again'],0.728,184673,0.6559999999999999,1,2twGKYnxAYNRQ9z9F3sQ4o,0,6,0.17,-5.652,1,Win Your Love,63,2020-04-24,0.416,155.866,0.8170000000000001,2020
0.0218,"['Scott Storch', 'Ozuna', 'Tyga']",0.789,148260,0.8320000000000001,0,2ZSHH750nQpUVHjoe3iu2U,3.56e-6,1,0.0849,-3.68,1,Fuego Del Calor (feat. Ozuna & Tyga),75,2020-05-29,0.0615,100.02,0.597,2020
0.327,['Eslabon Armado'],0.447,215954,0.636,1,36EQeUxiJibZQ0WLICBZua,0,6,0.0834,-8.064,1,Catorce de Febrero,65,2020-04-06,0.0473,68.083,0.866,2020
0.138,"['Ne-Yo', 'Jeremih']",0.626,208216,0.5920000000000001,1,3862MQcbNmghGJDfk8cOJi,3.12e-4,6,0.0957,-7.085,1,U 2 Luv,67,2020-05-29,0.147,177.715,0.65,2020
0.115,"['Ellie Goulding', 'blackbear']",0.664,179759,0.743,1,0wsfdPl7p3yKjQBmHQsaDn,0,5,0.34,-7.114,1,Worry About Me (feat. blackbear),70,2020-03-13,0.206,161.885,0.534,2020
0.201,"['Wisin & Yandel', 'Sech']",0.81,226520,0.82,0,4kuQJb8ghj6268fBTtB3bX,0,11,0.13,-3.497,1,Ganas de Ti,74,2020-02-27,0.0698,92.999,0.672,2020
0.313,['Eslabon Armado'],0.613,242442,0.537,1,1dccdhKRYUcjPVdMGjRQ1H,0,1,0.0741,-8.298,0,Tentacion,65,2020-04-06,0.0513,104.629,0.7959999999999999,2020
0.35600000000000004,"['Kygo', 'Joe Janiak']",0.63,175326,0.826,0,4gGIqmBDfECUFBOSYOoW3a,6.98e-6,0,0.136,-4.798,1,Follow,69,2020-05-29,0.0449,116.039,0.239,2020
5.92e-4,['Lil Uzi Vert'],0.929,213885,0.563,1,5jUvv1aTcNTgTOsAGlJojn,0,9,0.244,-7.428,1,Homecoming,64,2020-03-13,0.49,129.957,0.353,2020
0.022,"['MOD SUN', 'Machine Gun Kelly', 'Goody Grace']",0.667,151891,0.636,1,00okrW9OfjmG0PZJSY3fJd,0,8,0.0908,-5.669,1,Stay Away (feat. Machine Gun Kelly & Goody Grace),67,2020-04-24,0.08199999999999999,158.058,0.152,2020
0.00875,['KGodd'],0.866,165624,0.645,1,2whSJ328GrNbPbXEHFiGiN,0,8,0.124,-6.351,1,Daygo,64,2020-04-04,0.14400000000000002,100.037,0.542,2020
0.00602,['The Strokes'],0.628,235947,0.5710000000000001,0,2mDYYGaGd9uXKkK2YhDA3i,8.89e-5,0,0.0833,-3.897,1,Brooklyn Bridge To Chorus,70,2020-04-10,0.0631,119.894,0.465,2020
6.74e-4,"['Machine Gun Kelly', 'Travis Barker']",0.461,201176,0.866,0,6MhVVeasbZIDjSPrguGLbQ,0,11,0.371,-3.5860000000000003,1,Misery Business,67,2020-03-31,0.152,170.014,0.716,2020
0.0481,"['Lil Baby', 'Lil Uzi Vert']",0.892,214215,0.486,1,1cyAB7KGiNHIqY6A9SyFaU,0,11,0.146,-8.636000000000001,0,Commercial (feat. Lil Uzi Vert),64,2020-05-01,0.384,120.995,0.529,2020
0.452,['Lauv'],0.532,160187,0.455,0,7cDpMO5wuWgvv3j4INRBeB,0,2,0.237,-8.366,1,Changes,72,2020-03-06,0.156,148.18200000000004,0.204,2020
0.386,['Alessia Cara'],0.66,217348,0.631,0,13QIjo2iGBgl56mNDjJOet,0,0,0.16,-6.464,1,I Choose - From The Netflix Original Film The Willoughbys,72,2020-04-03,0.0764,138.007,0.416,2020
0.447,"['Sleepy Hallow', 'Sheff G']",0.851,128802,0.502,1,6sYThNCvel5hrSu6Cd5fv0,0,11,0.107,-10.13,1,Don't Panic (feat. Sheff G),59,2020-06-05,0.336,139.959,0.893,2020
0.0229,"['Young Dolph', 'Megan Thee Stallion']",0.888,211213,0.684,1,6aIARN0We3Rf0O2n20J8hp,0,7,0.458,-6.36,1,RNB (feat. Megan Thee Stallion),64,2020-05-29,0.265,84.98200000000001,0.532,2020
0.215,"['Y2K', 'The Kid LAROI', 'blackbear', 'Bankrol Hayden']",0.7929999999999999,186459,0.531,1,64YAQSR4jfmtHeJudcQix2,0,7,0.105,-8.777000000000001,1,"Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)",68,2020-04-15,0.0967,138.496,0.591,2020
0.0932,"['JoJo', 'Tory Lanez', '30 Roc']",0.616,175252,0.537,1,3wN7Spu4tWhefB3LooMLys,1.57e-4,8,0.107,-7.7189999999999985,0,Comeback (feat. Tory Lanez and 30 Roc),68,2020-05-01,0.139,122.65,0.465,2020
0.162,['Lil Uzi Vert'],0.775,188800,0.757,1,5mhhIHsPJGqBMTRiFOtHDF,0,9,0.14800000000000002,-4.1389999999999985,1,Venetia,64,2020-03-13,0.175,142.933,0.562,2020
0.542,"['Petit Biscuit', 'Shallou']",0.755,238067,0.614,0,5QI8TzL0eOULZSwsr1FJzu,0.00879,2,0.0937,-9.481,1,I Leave Again,71,2020-05-20,0.0548,124.02,0.14800000000000002,2020
0.16699999999999998,['Grupo Firme'],0.512,214446,0.594,0,35aju8GgJmbaMk9zmhNhg4,0,0,0.175,-5.527,1,La Estoy Pasando Mal,70,2020-01-11,0.0467,123.884,0.5920000000000001,2020
0.157,"['Run The Jewels', 'Greg Nice', 'DJ Premier']",0.6859999999999999,183827,0.8240000000000001,1,4duqfee47U0bYpEGkIBp47,0,11,0.242,-5.4129999999999985,1,ooh la la (feat. Greg Nice & DJ Premier),66,2020-03-25,0.34,170.079,0.405,2020
0.234,"['Freddie Gibbs', 'The Alchemist', 'Benny The Butcher']",0.489,281987,0.62,1,2pFC6DEdMhxQWUTptwVyS4,2.57e-5,7,0.312,-10.52,1,Frank Lucas (feat. Benny the Butcher),65,2020-05-29,0.272,70.46300000000002,0.308,2020
0.0833,"['Trippie Redd', 'Lil Tecca']",0.633,169008,0.687,1,2wsA4fEHE7ig1B8TyGkZ12,0,7,0.103,-5.059,0,How I Was Raised,65,2020-02-21,0.0726,160.035,0.486,2020
0.0833,['Rvshvd'],0.77,114840,0.606,1,7v4wYRh7jlMC6vpNKkaLwv,1.09e-6,4,0.0947,-8.273,0,Ballin',64,2020-04-09,0.306,160.02200000000005,0.463,2020
0.41,['Dua Lipa'],0.7659999999999999,166266,0.485,0,0vQcyuMEfRBd21ojZ62N2L,0,3,0.102,-5.952000000000001,1,Boys Will Be Boys,74,2020-03-27,0.0349,124.99,0.522,2020
0.0587,"['Anuel AA', 'Tego Calderon']",0.713,261500,0.77,1,2WzUy86kPLYRLRwLtinZ1x,5.0099999999999e-4,4,0.339,-4.779,0,Rifles Rusos,71,2020-05-29,0.101,87.969,0.684,2020
0.203,['DaBaby'],0.871,170192,0.555,1,3ekxXNSH4mgUnMprSnopls,0,1,0.118,-5.968,1,SHUT UP,66,2020-02-06,0.248,129.97299999999998,0.248,2020
0.0476,['Apollo Fresh'],0.787,105384,0.525,1,6VOq2z5qEUPNFXEz1qACSl,0,1,0.601,-9.23,1,JoJo Pose,69,2020-01-13,0.146,133.997,0.366,2020
0.16,"['Doe Boy', 'Moneybagg Yo']",0.893,171312,0.768,1,3EATISg39vr81RXoosDtil,0,9,0.204,-3.065,1,Split It,65,2020-05-01,0.29,140.07,0.7509999999999999,2020
0.021,['Tame Impala'],0.585,273027,0.7809999999999999,0,558ubozatFQlweufvHa3Ip,1.87e-4,2,0.627,-3.808,1,It Might Be Time,68,2020-02-14,0.0457,115.946,0.336,2020
0.438,"['Justin Bieber', 'Lil Dicky']",0.774,179627,0.603,0,75nKBP8jQu681pTNCtrEnn,4.370000000000001e-5,11,0.0869,-7.319,1,Running Over (feat. Lil Dicky),69,2020-02-14,0.0591,149.982,0.977,2020
0.0736,['Justin Bieber'],0.7020000000000001,195333,0.608,0,1b6tPXXCV2fSNtR3SKWUQA,0,3,0.129,-6.843,1,Available,70,2020-02-14,0.0359,75.012,0.597,2020
0.477,['Brent Faiyaz'],0.602,223630,0.5,1,5PvVkf1Yuq3XyMqqjPiKPd,5.69e-5,8,0.295,-9.377,1,Been Away,65,2020-02-07,0.29600000000000004,132.8,0.395,2020
0.299,['Lennon Stella'],0.759,122733,0.55,0,0u4dw7TujMZivFm9FyaIfu,0,0,0.112,-6.384,0,Jealous,68,2020-04-24,0.0515,115.061,0.361,2020
0.0457,['EVERGLOW'],0.6920000000000001,192280,0.8809999999999999,0,3CyCjgTHFzqucmECajq8QA,4.26e-6,11,0.146,-2.563,0,DUN DUN,75,2020-02-03,0.0461,103.055,0.433,2020
0.0519,"['Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo', 'Cosculluela', 'Lalo Ebratt', 'Llane', 'Dalmata']",0.82,290160,0.7829999999999999,0,2SdwRMzLw1vKClRinPqtuU,0,2,0.111,-4.266,1,TBT - Remix,76,2020-04-23,0.141,91.957,0.52,2020
0.00119,['Swae Lee'],0.904,223275,0.4920000000000001,1,5awaEIMiJboRO7ycF6UOot,0.364,2,0.125,-9.657,1,Someone Said,67,2020-02-28,0.155,149.982,0.257,2020
0.754,['Mac Miller'],0.828,330507,0.182,0,1kwnxJNVl7cwcU98RvMBaR,0.0706,1,0.15,-13.066,0,Surf,67,2020-01-17,0.166,147.279,0.231,2020
0.0718,['EGOVERT'],0.873,100765,0.389,1,7rldNiY6em6LIg8LJauLFQ,1.32e-5,0,0.124,-12.658,0,Velvet!,69,2020-02-24,0.428,105.094,0.625,2020
0.0381,"['J Balvin', 'Sky Rompiendo']",0.828,142547,0.738,0,3HTbI3yUJQw3fP0Po8qLcD,0.473,8,0.0917,-4.295,0,Verde,77,2020-03-19,0.0516,94.995,0.818,2020
0.00291,['Isaiah Rashad'],0.287,150562,0.87,1,0M5pEUmRD3b4nP31L88IdL,0,1,0.0609,-6.689,0,Why Worry,65,2020-04-22,0.293,81.16199999999998,0.6809999999999999,2020
0.0107,"['TisaKorean', 'Kblast', 'Huncho Da Rockstar']",0.846,249364,0.324,0,222CYzFdozaJ8D7TL0Eo0u,0,2,0.0966,-12.434,1,The Mop,65,2020-01-24,0.667,143.988,0.399,2020
0.239,"['Luh Kel', 'Lil Tjay']",0.66,195331,0.664,1,1Ml32gIRsMAQuUTEt8hwpZ,0,0,0.256,-4.419,1,Wrong (feat. Lil Tjay) - Remix,67,2020-04-10,0.0491,120.107,0.4320000000000001,2020
0.0714,['Don Toliver'],0.743,171210,0.753,1,79EVtighsMYkWahVb9MnF8,3.02e-6,1,0.08800000000000001,-4.479,1,Wasted,66,2020-03-13,0.0424,157.046,0.6970000000000001,2020
0.5920000000000001,['Lil Durk'],0.598,125726,0.583,1,6pgXtdQGyZODLuXK7ZrTCk,0,1,0.109,-6.141,1,Internet Sensation,65,2020-05-08,0.259,93.322,0.36,2020
0.157,"['Lil Tjay', 'J.I the Prince of N.Y']",0.563,182518,0.584,1,6P044Uja1fjxwqXOTT2QO4,0,2,0.165,-6.837999999999999,0,My City,66,2020-05-08,0.203,167.02200000000005,0.335,2020
0.181,['HARDY'],0.544,193902,0.871,0,5d9nNDxhtF99CgFfKm6NK5,0,2,0.0862,-3.831,1,BOOTS,64,2020-05-01,0.0392,104.018,0.511,2020
0.393,['Sleepy Hallow'],0.899,149608,0.475,1,2ME0NNq3eFGDfFwEMEXGdA,0,5,0.0443,-7.737,0,6am In NY,58,2020-06-05,0.337,90.02,0.6990000000000001,2020
0.177,['Lil Baby'],0.6809999999999999,155832,0.414,1,20Yz5dzjdTCVjXte9KrJbi,0,1,0.17800000000000002,-6.944,0,Get Ugly,64,2020-02-28,0.223,148.03,0.0734,2020
0.29,['Don Toliver'],0.752,175297,0.7290000000000001,1,38HkYfvnhHLLB5Yaj2VpZg,1.27e-6,1,0.0783,-5.436,1,No Photos,67,2020-03-13,0.174,134.03799999999998,0.366,2020
0.634,['Jhené Aiko'],0.523,221040,0.458,1,3Rs9jOQ2FlVgS6vYXPoAVm,0,7,0.102,-9.015,0,P*$$Y Fairy (OTW),64,2020-03-06,0.214,129.264,0.345,2020
0.971,['Donato Manna'],0.174,212250,0.0422,0,1LLLm2nPAEw0F8nREc7mbe,0.901,1,0.111,-28.743,1,In Peace,67,2020-01-31,0.0445,66.84899999999999,0.0891,2020
0.161,['Rod Wave'],0.7070000000000001,183824,0.532,1,7u5awC3KHNZTfHcnFwZdAb,0,10,0.184,-10.65,0,No Weakness,62,2020-04-03,0.117,87.47,0.55,2020
0.569,"['Sleepy Hallow', 'Sheff G']",0.8,145844,0.205,1,2b6m1EXzEp4krnVK3RiQT2,0,4,0.105,-14.792,0,Water (feat. Sheff G),58,2020-06-05,0.637,155.007,0.58,2020
0.325,['Lil Uzi Vert'],0.7759999999999999,192705,0.752,1,4WQk1ivjM6rphaG8ZDc962,0,8,0.33,-4.711,0,Bigger Than Life,64,2020-03-13,0.193,140.013,0.716,2020
0.0784,"['Gente De Zona', 'Becky G']",0.83,200690,0.8370000000000001,0,2vI4SxtYqAQD5h1nSrqfKM,5.870000000000001e-5,11,0.0824,-4.789,0,Muchacha,75,2020-04-23,0.141,115.976,0.7440000000000001,2020
0.0149,['King Von'],0.82,196180,0.5920000000000001,1,7fEoXCZTZFosUFvFQg1BmW,4.71e-6,1,0.121,-7.0020000000000016,1,Took Her To The O,64,2020-03-06,0.29,159.98,0.4,2020
0.0556,['GOT7'],0.5489999999999999,204702,0.813,0,1pmfd0ohjfh1qXPWvjaC1o,4.44e-6,5,0.207,-4.828,0,NOT BY THE MOON,73,2020-04-20,0.14800000000000002,151.813,0.544,2020
